network_id,representation,local_outcome,lemon_outcome,local_moderator_id,local_moderator,eeg_id,channel,band,local_beta_interaction,local_p_raw,weight_sign_equal
NET03__DELTA_OC_MINUS_OA__MSPSS__W3,DELTA_OC_MINUS_OA,MSPSS,MSPSS_total,W3,SLEEP_NOT_RECOMMENDED,EEG11,F3,alpha,8.940291797429671,0.0345540481569964,0.125
NET03__DELTA_OC_MINUS_OA__MSPSS__W3,DELTA_OC_MINUS_OA,MSPSS,MSPSS_total,W3,SLEEP_NOT_RECOMMENDED,EEG43,F7,alpha,9.832243735495322,0.0076950147436451,0.125
NET03__DELTA_OC_MINUS_OA__MSPSS__W3,DELTA_OC_MINUS_OA,MSPSS,MSPSS_total,W3,SLEEP_NOT_RECOMMENDED,EEG39,O2,alpha,8.828432946756513,0.0454113384125685,0.125
NET03__DELTA_OC_MINUS_OA__MSPSS__W3,DELTA_OC_MINUS_OA,MSPSS,MSPSS_total,W3,SLEEP_NOT_RECOMMENDED,EEG31,P4,alpha,7.521295723195668,0.0409085023412764,0.125
NET03__DELTA_OC_MINUS_OA__MSPSS__W3,DELTA_OC_MINUS_OA,MSPSS,MSPSS_total,W3,SLEEP_NOT_RECOMMENDED,EEG59,P7,alpha,8.844799058403316,0.0405515036123669,0.125
NET03__DELTA_OC_MINUS_OA__MSPSS__W3,DELTA_OC_MINUS_OA,MSPSS,MSPSS_total,W3,SLEEP_NOT_RECOMMENDED,EEG55,T8,alpha,9.42557566898183,0.015348005968504,0.125
NET04__DELTA_OC_MINUS_OA__MSPSS__W2,DELTA_OC_MINUS_OA,MSPSS,MSPSS_total,W2,BMI_OVERWEIGHT_OR_OBESE,EEG45,F8,delta,-20.2477606488998,0.0094547706672181,-0.3333333333333333
NET04__DELTA_OC_MINUS_OA__MSPSS__W2,DELTA_OC_MINUS_OA,MSPSS,MSPSS_total,W2,BMI_OVERWEIGHT_OR_OBESE,EEG7,Fp2,alpha,-25.494821831370444,0.0346170182546974,-0.3333333333333333
NET04__DELTA_OC_MINUS_OA__MSPSS__W2,DELTA_OC_MINUS_OA,MSPSS,MSPSS_total,W2,BMI_OVERWEIGHT_OR_OBESE,EEG51,T7,alpha,-27.348847322010485,0.0328030420497389,-0.3333333333333333
NET05__DELTA_OC_MINUS_OA__MSPSS__W4,DELTA_OC_MINUS_OA,MSPSS,MSPSS_total,W4,LIVING_ALONE,EEG23,C4,alpha,-13.060959599204928,0.013432102562434,-1.0
NET06__DELTA_OC_MINUS_OA__BAI__W4,DELTA_OC_MINUS_OA,BAI,STAI_Trait_Anxiety,W4,LIVING_ALONE,EEG12,F3,beta,12.060084758994256,0.0478588951311882,0.25
NET06__DELTA_OC_MINUS_OA__BAI__W4,DELTA_OC_MINUS_OA,BAI,STAI_Trait_Anxiety,W4,LIVING_ALONE,EEG4,Fp1,beta,7.724355522149651,0.0411042368767334,0.25
NET06__DELTA_OC_MINUS_OA__BAI__W4,DELTA_OC_MINUS_OA,BAI,STAI_Trait_Anxiety,W4,LIVING_ALONE,EEG8,Fp2,beta,5.217934856727536,0.0343388639933498,0.25
NET06__DELTA_OC_MINUS_OA__BAI__W4,DELTA_OC_MINUS_OA,BAI,STAI_Trait_Anxiety,W4,LIVING_ALONE,EEG59,P7,alpha,14.22388071228197,0.0416182735950191,0.25
NET07__DELTA_OC_MINUS_OA__BAI__W2,DELTA_OC_MINUS_OA,BAI,STAI_Trait_Anxiety,W2,BMI_OVERWEIGHT_OR_OBESE,EEG3,Fp1,alpha,-22.16976006933929,0.0459919248789558,-1.0
NET08__DELTA_OC_MINUS_OA__MSPSS__W5,DELTA_OC_MINUS_OA,MSPSS,MSPSS_total,W5,ATTACHMENT_INSECURE,EEG36,O1,beta,-7.766991128057105,0.0490054593140692,-1.0
