network_id,representation,local_outcome,lemon_outcome,local_moderator_id,local_moderator,local_moderator_label,n_components,local_min_p,local_max_abs_beta,eeg_ids
NET01__OC__MSPSS__W4,OC,MSPSS,MSPSS_total,W4,LIVING_ALONE,Vive solo/a vs acompañado/a,31,0.0301372372361042,1.024004608581274,EEG17 | EEG18 | EEG21 | EEG22 | EEG9 | EEG10 | EEG13 | EEG14 | EEG42 | EEG45 | EEG46 | EEG1 | EEG2 | EEG5 | EEG6 | EEG33 | EEG34 | EEG37 | EEG38 | EEG25 | EEG26 | EEG29 | EEG30 | EEG57 | EEG58 | EEG61 | EEG62 | EEG49 | EEG50 | EEG53 | EEG54
NET02__OA__MSPSS__W4,OA,MSPSS,MSPSS_total,W4,LIVING_ALONE,Vive solo/a vs acompañado/a,2,0.0492521790867692,0.7434443919959112,EEG61 | EEG62
NET03__DELTA_OC_MINUS_OA__MSPSS__W3,DELTA_OC_MINUS_OA,MSPSS,MSPSS_total,W3,SLEEP_NOT_RECOMMENDED,Sueño no recomendado (<8 o >8 h) vs 8 h recomendado,8,0.0076950147436451,10.33595420981593,EEG19 | EEG23 | EEG11 | EEG43 | EEG39 | EEG31 | EEG59 | EEG55
NET04__DELTA_OC_MINUS_OA__MSPSS__W2,DELTA_OC_MINUS_OA,MSPSS,MSPSS_total,W2,BMI_OVERWEIGHT_OR_OBESE,Sobrepeso/obesidad vs normal/bajo peso,3,0.0094547706672181,27.348847322010485,EEG45 | EEG7 | EEG51
NET05__DELTA_OC_MINUS_OA__MSPSS__W4,DELTA_OC_MINUS_OA,MSPSS,MSPSS_total,W4,LIVING_ALONE,Vive solo/a vs acompañado/a,1,0.013432102562434,13.060959599204928,EEG23
NET06__DELTA_OC_MINUS_OA__BAI__W4,DELTA_OC_MINUS_OA,BAI,STAI_Trait_Anxiety,W4,LIVING_ALONE,Vive solo/a vs acompañado/a,4,0.0343388639933498,14.22388071228197,EEG12 | EEG4 | EEG8 | EEG59
NET07__DELTA_OC_MINUS_OA__BAI__W2,DELTA_OC_MINUS_OA,BAI,STAI_Trait_Anxiety,W2,BMI_OVERWEIGHT_OR_OBESE,Sobrepeso/obesidad vs normal/bajo peso,1,0.0459919248789558,22.16976006933929,EEG3
NET08__DELTA_OC_MINUS_OA__MSPSS__W5,DELTA_OC_MINUS_OA,MSPSS,MSPSS_total,W5,ATTACHMENT_INSECURE,Apego inseguro (evitativo/ambivalente) vs seguro,1,0.0490054593140692,7.766991128057105,EEG36
