selection_row_id,combo_index,analysis_family,outcome,moderator_id,eeg_id,channel,band,screen_beta_interaction,screen_t_interaction,screen_p_raw,target_id,rows_per_unique_target,duplicate_target
SEL038,23,DELTA_OC_MINUS_OA,BAI,W4,EEG59,P7,alpha,14.2238807122819,2.1700789552351307,0.0416182735950198,TARGET__DELTA_OC_MINUS_OA__BAI__EEG59,1,False
SEL039,26,DELTA_OC_MINUS_OA,MSPSS,W2,EEG7,Fp2,alpha,-25.49482183137043,-2.2593633446525536,0.0346170182546975,TARGET__DELTA_OC_MINUS_OA__MSPSS__EEG7,1,False
SEL040,26,DELTA_OC_MINUS_OA,MSPSS,W2,EEG45,F8,delta,-20.247760648899728,-2.856252338674284,0.0094547706672182,TARGET__DELTA_OC_MINUS_OA__MSPSS__EEG45,1,False
SEL041,26,DELTA_OC_MINUS_OA,MSPSS,W2,EEG51,T7,alpha,-27.348847322010474,-2.285186856288373,0.0328030420497389,TARGET__DELTA_OC_MINUS_OA__MSPSS__EEG51,1,False
SEL042,27,DELTA_OC_MINUS_OA,MSPSS,W3,EEG11,F3,alpha,8.940291797429694,2.260238776135395,0.034554048156996,TARGET__DELTA_OC_MINUS_OA__MSPSS__EEG11,1,False
SEL043,27,DELTA_OC_MINUS_OA,MSPSS,W3,EEG19,C3,alpha,9.363767208370762,2.084979489922039,0.0494633433241626,TARGET__DELTA_OC_MINUS_OA__MSPSS__EEG19,1,False
SEL044,27,DELTA_OC_MINUS_OA,MSPSS,W3,EEG23,C4,alpha,10.335954209815965,2.907317422716799,0.0084238953858851,TARGET__DELTA_OC_MINUS_OA__MSPSS__EEG23,2,True
SEL045,27,DELTA_OC_MINUS_OA,MSPSS,W3,EEG31,P4,alpha,7.521295723195661,2.1784793982482022,0.0409085023412765,TARGET__DELTA_OC_MINUS_OA__MSPSS__EEG31,1,False
SEL046,27,DELTA_OC_MINUS_OA,MSPSS,W3,EEG39,O2,alpha,8.828432946756527,2.1272746549682964,0.0454113384125682,TARGET__DELTA_OC_MINUS_OA__MSPSS__EEG39,1,False
SEL047,27,DELTA_OC_MINUS_OA,MSPSS,W3,EEG43,F7,alpha,9.832243735495323,2.9471749994825323,0.0076950147436451,TARGET__DELTA_OC_MINUS_OA__MSPSS__EEG43,1,False
SEL048,27,DELTA_OC_MINUS_OA,MSPSS,W3,EEG55,T8,alpha,9.425575668981818,2.638890871971743,0.0153480059685041,TARGET__DELTA_OC_MINUS_OA__MSPSS__EEG55,1,False
SEL049,27,DELTA_OC_MINUS_OA,MSPSS,W3,EEG59,P7,alpha,8.844799058403325,2.182754786686804,0.0405515036123666,TARGET__DELTA_OC_MINUS_OA__MSPSS__EEG59,1,False
SEL050,28,DELTA_OC_MINUS_OA,MSPSS,W4,EEG23,C4,alpha,-13.06095959920501,-2.6992532538339367,0.0134321025624335,TARGET__DELTA_OC_MINUS_OA__MSPSS__EEG23,2,True
SEL051,29,DELTA_OC_MINUS_OA,MSPSS,W5,EEG36,O1,beta,-7.766991128056985,-2.089599094870259,0.0490054593140705,TARGET__DELTA_OC_MINUS_OA__MSPSS__EEG36,1,False
