analysis_family,analysis_label,scheme,model_id,outcome,predictor_id,zone,band,n_source_features,source_channels,source_eeg_ids,moderator_id,n,n_w0,n_w1,x_mean_db,x_sd_db,beta_interaction,se_interaction,t_interaction,df_resid,p_raw,p_hc3,r2_full,r2_reduced,delta_r2,cohen_f2_interaction,slope_w0,se_slope_w0,ci95_low_slope_w0,ci95_high_slope_w0,p_slope_w0,slope_w1,se_slope_w1,ci95_low_slope_w1,ci95_high_slope_w1,p_slope_w1,design_rank,condition_number,status,p_FDR_block,hit_FDR_block_0_10,p_FDR_scheme_global,hit_FDR_scheme_global_0_10,p_FDR_aggregation_global_750,hit_FDR_aggregation_global_0_10,p_BY_aggregation_global_750,p_FDR_full_search_2670,hit_FDR_full_search_0_10,p_BY_full_search_2670
OC,Ojos cerrados,ZONE_BAND,BAI_ZB_CENTRAL_THETA_W1,BAI,ZB_CENTRAL_THETA,central,theta,2,C3 | C4,EEG18 | EEG22,W1,25,8,17,17.149842108868302,11.366654659893218,0.4586934439413427,0.4558364605659607,1.0062675622126296,21.0,0.3257416360156088,0.2018394284035962,0.4564788550450174,0.4302714454776349,0.0262074095673824,0.0482178288933967,-0.3303192782750034,0.4172709931803506,-1.1980818126961297,0.5374432561461229,0.4374341480165812,0.1283741656663392,0.1834987657494913,-0.2532324080767443,0.5099807394094229,0.4918599182053764,4,40.636244375131184,ok,0.5895721906681803,False,0.6893072022045257,False,0.6938197114213545,False,1.0,0.7054464477975972,False,1.0
OA,Ojos abiertos,ZONE_BAND,BAI_ZB_OCCIPITAL_BETA_W4,BAI,ZB_OCCIPITAL_BETA,occipital,beta,2,O1 | O2,EEG36 | EEG40,W4,25,17,8,8.856748059113755,10.51561976491168,0.4966729180586113,0.4946599408924396,1.004069416178193,21.0,0.3267752091781695,0.1947850697659914,0.126864433125556,0.0849474650240386,0.0419169681015174,0.0480073996430672,-0.067877032970675,0.2746421982193321,-0.6390267507340419,0.5032726847926918,0.8071945299873879,0.4287958850879363,0.4114123479928196,-0.4267829296898534,1.284374699865726,0.309145138349346,4,24.90417647771848,ok,0.5938739919768675,False,0.6893072022045257,False,0.6938197114213545,False,1.0,0.7054464477975972,False,1.0
OC,Ojos cerrados,ZONE_BAND,MSPSS_ZB_CENTRAL_THETA_W5,MSPSS,ZB_CENTRAL_THETA,central,theta,2,C3 | C4,EEG18 | EEG22,W5,25,11,14,17.149842108868302,11.366654659893218,0.357106032323866,0.3572169383197168,0.9996895276120652,21.0,0.3288414490770775,0.2502423190695565,0.2746152848218689,0.2400946009527811,0.0345206838690878,0.0475894834103454,-0.1996315777356095,0.2873080263188195,-0.7971213269696111,0.397858171498392,0.4947757408292983,0.1574744545882564,0.2122687895930461,-0.2839626590530291,0.5989115682295421,0.4663868900810247,4,32.321186712281694,ok,0.5895721906681803,False,0.6893072022045257,False,0.6938197114213545,False,1.0,0.7054464477975972,False,1.0
DELTA_OC_MINUS_OA,Reactividad OC−OA,ZONE,MSPSS_Z_OCCIPITAL_W3,MSPSS,Z_OCCIPITAL,occipital,all_bands,8,O1 | O2,EEG33 | EEG34 | EEG35 | EEG36 | EEG37 | EEG38 | EEG39 | EEG40,W3,25,6,19,1.2062277146964149,5.153889862798359,3.5734868033598604,3.5755821866909465,0.9994139742224676,21.0,0.3289717462464482,0.7537449119417577,0.0579996271414174,0.013195026028831,0.0448046011125864,0.0475632519938638,-0.2000266080102578,0.4614509260630194,-1.1596663425133218,0.7596131264928061,0.6690911856894729,3.3734601953496024,3.545680614017172,-4.000186298543049,10.747106689242251,0.3522100587641609,4,17.618564821313658,ok,0.9644656722218322,False,0.6931554667945953,False,0.6938197114213545,False,1.0,0.7054464477975972,False,1.0
OC,Ojos cerrados,ZONE_BAND,BAI_ZB_FRONTAL_BETA_W3,BAI,ZB_FRONTAL_BETA,frontal,beta,6,Fp1 | Fp2 | F3 | F4 | F7 | F8,EEG4 | EEG8 | EEG12 | EEG16 | EEG44 | EEG48,W3,25,6,19,10.091187641957935,10.063610595271342,-0.6871043377518014,0.6883743009224816,-0.9981551269869046,21.0,0.3295674566642836,0.2305293306610775,0.050817563228489,0.005785019169295,0.0450325440591939,0.0474435075014291,0.5857861251388641,0.6319768115046379,-0.728481601613036,1.900053851890764,0.3645039951727973,-0.1013182126129372,0.2728818203745836,-0.6688070242384131,0.4661705990125385,0.7141413177229884,4,40.91950681745882,ok,0.5895721906681803,False,0.6893072022045257,False,0.6938197114213545,False,1.0,0.7054464477975972,False,1.0
OA,Ojos abiertos,ZONE_BAND,MSPSS_ZB_OCCIPITAL_ALPHA_W5,MSPSS,ZB_OCCIPITAL_ALPHA,occipital,alpha,2,O1 | O2,EEG35 | EEG39,W5,25,11,14,18.424597448260545,5.052775848091443,0.8154886248027351,0.8186752917806737,0.996107532485795,21.0,0.3305380175266589,0.3506092592514814,0.2787107287591234,0.2446304902067365,0.0340802385523868,0.0472490579178539,-0.3896969448116522,0.6702079157043184,-1.7834706051564344,1.0040767155331298,0.5671221973352674,0.4257916799910828,0.4701601674955504,-0.5519599135721487,1.4035432735543143,0.3754050166182039,4,14.61693516772391,ok,0.5938739919768675,False,0.6893072022045257,False,0.6938197114213545,False,1.0,0.7054464477975972,False,1.0
OA,Ojos abiertos,ZONE_BAND,BAI_ZB_CENTRAL_THETA_W4,BAI,ZB_CENTRAL_THETA,central,theta,2,C3 | C4,EEG18 | EEG22,W4,25,17,8,15.80887082998302,12.193263287605935,0.4211552000196331,0.4228447303342584,0.996004371833392,21.0,0.3305869681782484,0.2334749228410457,0.1234781445437921,0.0820718903372219,0.0414062542065701,0.047239271843392,-0.0816404493490301,0.2381833783815717,-0.5769699006153582,0.4136890019172979,0.7351839832129661,0.339514750670603,0.3493799425184463,-0.3870606148609189,1.0660901162021248,0.3422289608266755,4,28.832779715973995,ok,0.5938739919768675,False,0.6893072022045257,False,0.6938197114213545,False,1.0,0.7054464477975972,False,1.0
DELTA_OC_MINUS_OA,Reactividad OC−OA,ZONE_BAND,MSPSS_ZB_PARIETAL_DELTA_W2,MSPSS,ZB_PARIETAL_DELTA,parietal,delta,4,P3 | P4 | P7 | P8,EEG25 | EEG29 | EEG57 | EEG61,W2,25,18,7,1.8035370953982863,7.27385328551566,-6.014857111372829,6.039362790191103,-0.995942340331322,21.0,0.3306164051028626,0.6723862946611026,0.0694879112197638,0.0255366728129213,0.0439512384068424,0.0472333878697438,-0.0242169637799246,0.3030353654326938,-0.6544135051758664,0.6059795776160171,0.9370618167064052,-6.039074075152754,6.031755339769839,-18.58279598774822,6.504647837442714,0.3281215397398523,4,30.76618079799804,ok,0.880585667922002,False,0.6893072022045257,False,0.6938197114213545,False,1.0,0.7054464477975972,False,1.0
OA,Ojos abiertos,ZONE_BAND,BAI_ZB_OCCIPITAL_DELTA_W2,BAI,ZB_OCCIPITAL_DELTA,occipital,delta,2,O1 | O2,EEG33 | EEG37,W2,25,18,7,19.59061393265616,13.595827501977174,0.5969236211125226,0.5995530604603786,0.9956143342078232,21.0,0.3307720899941277,0.7996127034238701,0.0631377543107303,0.0189157192653841,0.0442220350453461,0.0472022810704801,-0.0301004925764331,0.1969049935375245,-0.4395868432330834,0.3793858580802171,0.8799616098848192,0.5668231285360895,0.5662970031947845,-0.6108559595355793,1.7445022166077582,0.3282557709245765,4,33.791779398475704,ok,0.5938739919768675,False,0.6893072022045257,False,0.6938197114213545,False,1.0,0.7054464477975972,False,1.0
OA,Ojos abiertos,ZONE_BAND,BAI_ZB_PARIETAL_THETA_W4,BAI,ZB_PARIETAL_THETA,parietal,theta,4,P3 | P4 | P7 | P8,EEG26 | EEG30 | EEG58 | EEG62,W4,25,17,8,15.993418325873265,12.171199226815649,0.4233879416495676,0.4257647826686238,0.9944174785801716,21.0,0.3313405972569998,0.2347093526167692,0.1234578582100368,0.0821824854355851,0.0412753727744517,0.0470888629383686,-0.0787893072414226,0.2375990884619227,-0.5729036611015137,0.4153250466186685,0.743473309466531,0.344598634408145,0.3533020284726994,-0.3901331553740535,1.0793304241903436,0.3404815165161622,4,28.72001311481184,ok,0.5938739919768675,False,0.6893072022045257,False,0.6938197114213545,False,1.0,0.7054464477975972,False,1.0
