model_kind,target_id,representation,local_outcome,lemon_outcome,external_moderator,external_moderator_label,external_moderator_type,external_W_positive_definition,local_analogue,W_equivalence,external_W_n_available,external_W_missing,external_W_n0,external_W_n1,n,df_resid,beta_interaction_std,se_interaction,t_interaction,p_raw,se_hc3,t_hc3,p_hc3,r2_full,r2_reduced,delta_r2,cohen_f2_interaction,slope_W_low_std,slope_W_high_std,condition_number,eeg_id,channel,band,local_moderators,local_p_min,permutation_exceedances,p_permutation,p_maxT_global,q_BH_raw_global,q_BH_HC3_global,q_BH_permutation_global,q_BY_permutation_global,q_BH_permutation_within_W,q_BH_permutation_within_target_id,p_maxT_within_W,naive_p_lt_0_05,hc3_p_lt_0_05,permutation_p_lt_0_05,robust_nominal,triangulated_nominal
feature,TARGET__OC__MSPSS__EEG62,OC,MSPSS,MSPSS_total,GENDER_FEMALE,Mujer vs hombre,binary,1=mujer,W1 SEX_FEMALE,direct,135,0,94.0,41.0,135,131,-0.2250677543184399,0.1849764400597023,-1.2167374085359082,0.2258917379820146,0.1512944924071547,-1.48761366483025,0.1392559410083736,0.0473310447750977,0.0365647953108467,0.0107662494642509,0.0113011444376387,0.2492693596122725,0.0242016052938325,2.307243895136799,EEG62,P8,theta,W4,0.0301372372361042,2182,0.2182781721827817,1.0,0.9240553659651414,0.8856127534210265,0.9118465316098148,1.0,0.7327267273272673,0.6250374962503751,0.966003399660034,False,False,False,False,False
feature,TARGET__OC__MSPSS__EEG61,OC,MSPSS,MSPSS_total,GENDER_FEMALE,Mujer vs hombre,binary,1=mujer,W1 SEX_FEMALE,direct,135,0,94.0,41.0,135,131,-0.143222539276255,0.1984974650393557,-0.72153334173743,0.4718672785034487,0.1837373116671636,-0.7794962165099036,0.4370934390887571,0.0244710862347182,0.0205942124778846,0.0038768737568336,0.0039741249102191,0.1624500721054742,0.0192275328292192,2.4382398215726075,EEG61,P8,delta,W4,0.0303231288881845,4676,0.4676532346765323,1.0,0.936442424062965,0.973689025705312,0.9275621110455328,1.0,0.7794220577942206,0.8812755088127551,0.999900009999,False,False,False,False,False
feature,TARGET__OC__MSPSS__EEG5,OC,MSPSS,MSPSS_total,GENDER_FEMALE,Mujer vs hombre,binary,1=mujer,W1 SEX_FEMALE,direct,135,0,94.0,41.0,135,131,-0.0218436030352696,0.2050577465100469,-0.1065241543274223,0.9153294484606436,0.1918857770129355,-0.1138364884323716,0.9095416923262964,0.0058518759545203,0.0057657615125005,8.611444201978014e-05,8.662133935268646e-05,0.0278558198192116,0.0060122167839419,2.40217109145521,EEG5,Fp2,delta,W4,0.0308392371721907,9159,0.915908409159084,1.0,0.9852069463869568,0.996296827095842,0.9844848848448488,1.0,0.9500070401123152,0.915908409159084,1.0,False,False,False,False,False
feature,TARGET__OC__MSPSS__EEG6,OC,MSPSS,MSPSS_total,GENDER_FEMALE,Mujer vs hombre,binary,1=mujer,W1 SEX_FEMALE,direct,135,0,94.0,41.0,135,131,-0.1612501365371512,0.181972458493847,-0.8861238556196325,0.3771745676521127,0.1585383101943444,-1.017105180063308,0.3109781909668942,0.0244160016690722,0.0185683401053711,0.005847661563701,0.0059940113549479,0.1705437451895353,0.0092936086523841,2.1802622072013813,EEG6,Fp2,theta,W4,0.0341492186828345,3663,0.3663633636636336,1.0,0.9240553659651414,0.9488919985621757,0.9118465316098148,1.0,0.7327267273272673,0.6411358864113589,0.9991000899910008,False,False,False,False,False
feature,TARGET__OC__MSPSS__EEG54,OC,MSPSS,MSPSS_total,GENDER_FEMALE,Mujer vs hombre,binary,1=mujer,W1 SEX_FEMALE,direct,135,0,94.0,41.0,135,131,-0.2028997066779995,0.1825117759015123,-1.1117074812065222,0.268300047168565,0.169396367789005,-1.1977807394945166,0.2331650939692496,0.0459374817535452,0.0369365681079497,0.0090009136455955,0.0094343017081721,0.2467745848801836,0.0438748782021841,2.2844115511288985,EEG54,T8,theta,W4,0.0343992826654235,2661,0.2661733826617338,1.0,0.9240553659651414,0.9118188032317024,0.9118465316098148,1.0,0.7327267273272673,0.7097290270972902,0.9846015398460154,False,False,False,False,False
feature,TARGET__OC__MSPSS__EEG58,OC,MSPSS,MSPSS_total,GENDER_FEMALE,Mujer vs hombre,binary,1=mujer,W1 SEX_FEMALE,direct,135,0,94.0,41.0,135,131,-0.1656397877742096,0.1846036627873321,-0.8972724878434872,0.3712195789915682,0.1676570875757495,-0.9879677034194668,0.3249897553891557,0.0354836788685299,0.0295559683228765,0.0059277105456534,0.006145785629319,0.2125142940358682,0.0468745062616585,2.330669058163432,EEG58,P7,theta,W4,0.0345495111494009,3644,0.3644635536446355,1.0,0.9240553659651414,0.9488919985621757,0.9118465316098148,1.0,0.7327267273272673,0.7972202779722029,0.9986001399860014,False,False,False,False,False
feature,TARGET__OC__MSPSS__EEG57,OC,MSPSS,MSPSS_total,GENDER_FEMALE,Mujer vs hombre,binary,1=mujer,W1 SEX_FEMALE,direct,135,0,94.0,41.0,135,131,-0.1204691017982801,0.1912007311410425,-0.6300661147023229,0.5297488062249099,0.1992845083020643,-0.6045081116675651,0.5465514569925756,0.0193303814108543,0.0163585533946603,0.002971828016194,0.0030304069381383,0.1406118232913763,0.0201427214930962,2.2797313130627184,EEG57,P7,delta,W4,0.0347741004973604,5371,0.5371462853714628,1.0,0.936442424062965,0.9782461183923752,0.9275621110455328,1.0,0.7832073935463597,0.752004799520048,1.0,False,False,False,False,False
feature,TARGET__OC__MSPSS__EEG13,OC,MSPSS,MSPSS_total,GENDER_FEMALE,Mujer vs hombre,binary,1=mujer,W1 SEX_FEMALE,direct,135,0,94.0,41.0,135,131,-0.1252194886746258,0.1880511252767608,-0.6658800285844412,0.5066586308928255,0.2546204775504057,-0.4917887590161984,0.6236917367700942,0.0555301077701834,0.0523333568312186,0.0031967509389647,0.0033847039119664,0.254432403046514,0.1292129143718882,2.3140941585949864,EEG13,F4,delta,W4,0.0347749067907123,5110,0.5110488951104889,1.0,0.936442424062965,0.9891728224328948,0.9275621110455328,1.0,0.7832073935463597,0.8943355664433557,1.0,False,False,False,False,False
feature,TARGET__OC__MSPSS__EEG10,OC,MSPSS,MSPSS_total,GENDER_FEMALE,Mujer vs hombre,binary,1=mujer,W1 SEX_FEMALE,direct,135,0,94.0,41.0,135,131,-0.17969113318442,0.1798312418085387,-0.9992208883022236,0.3195298393765345,0.2413350551325316,-0.744571206556548,0.4578645904237048,0.0528607991871669,0.0456419906277852,0.0072188085593816,0.0076216975848813,0.2670899679742449,0.0873988347898248,2.305990359452418,EEG10,F3,theta,W4,0.0347846023678833,3170,0.3170682931706829,1.0,0.9240553659651414,0.973689025705312,0.9118465316098148,1.0,0.7327267273272673,0.7156784321567843,0.9949005099490053,False,False,False,False,False
feature,TARGET__OC__MSPSS__EEG18,OC,MSPSS,MSPSS_total,GENDER_FEMALE,Mujer vs hombre,binary,1=mujer,W1 SEX_FEMALE,direct,135,0,94.0,41.0,135,131,-0.2730159495429147,0.1809582090593625,-1.508723759823203,0.1337774402213759,0.1695916447162549,-1.6098431617884228,0.1098392303021319,0.0483757467154551,0.0318403862836131,0.016535360431842,0.0173759342248476,0.2614302234571837,-0.0115857260857309,2.3264132629669576,EEG18,C3,theta,W4,0.0358267801609531,1288,0.1288871112888711,1.0,0.9240553659651414,0.8093416969630775,0.9118465316098148,1.0,0.7327267273272673,0.6498150184981502,0.8560143985601439,False,False,False,False,False
