target_id,representation,local_outcome,lemon_outcome,eeg_id,channel,band,local_rows,local_moderators,local_moderator_names,local_beta_interactions,local_p_min
TARGET__DELTA_OC_MINUS_OA__MSPSS__EEG51,DELTA_OC_MINUS_OA,MSPSS,MSPSS_total,EEG51,T7,alpha,1,W2,BMI_OVERWEIGHT_OR_OBESE,-27.34884732,0.0328030420497389
TARGET__DELTA_OC_MINUS_OA__BAI__EEG8,DELTA_OC_MINUS_OA,BAI,STAI_Trait_Anxiety,EEG8,Fp2,beta,1,W4,LIVING_ALONE,5.217934857,0.0343388639933498
TARGET__DELTA_OC_MINUS_OA__MSPSS__EEG11,DELTA_OC_MINUS_OA,MSPSS,MSPSS_total,EEG11,F3,alpha,1,W3,SLEEP_NOT_RECOMMENDED,8.940291797,0.0345540481569964
TARGET__DELTA_OC_MINUS_OA__MSPSS__EEG7,DELTA_OC_MINUS_OA,MSPSS,MSPSS_total,EEG7,Fp2,alpha,1,W2,BMI_OVERWEIGHT_OR_OBESE,-25.49482183,0.0346170182546974
TARGET__DELTA_OC_MINUS_OA__MSPSS__EEG59,DELTA_OC_MINUS_OA,MSPSS,MSPSS_total,EEG59,P7,alpha,1,W3,SLEEP_NOT_RECOMMENDED,8.844799058,0.0405515036123669
TARGET__DELTA_OC_MINUS_OA__MSPSS__EEG31,DELTA_OC_MINUS_OA,MSPSS,MSPSS_total,EEG31,P4,alpha,1,W3,SLEEP_NOT_RECOMMENDED,7.521295723,0.0409085023412764
TARGET__DELTA_OC_MINUS_OA__BAI__EEG4,DELTA_OC_MINUS_OA,BAI,STAI_Trait_Anxiety,EEG4,Fp1,beta,1,W4,LIVING_ALONE,7.724355522,0.0411042368767334
TARGET__DELTA_OC_MINUS_OA__BAI__EEG59,DELTA_OC_MINUS_OA,BAI,STAI_Trait_Anxiety,EEG59,P7,alpha,1,W4,LIVING_ALONE,14.22388071,0.0416182735950191
TARGET__DELTA_OC_MINUS_OA__MSPSS__EEG39,DELTA_OC_MINUS_OA,MSPSS,MSPSS_total,EEG39,O2,alpha,1,W3,SLEEP_NOT_RECOMMENDED,8.828432947,0.0454113384125685
TARGET__DELTA_OC_MINUS_OA__BAI__EEG3,DELTA_OC_MINUS_OA,BAI,STAI_Trait_Anxiety,EEG3,Fp1,alpha,1,W2,BMI_OVERWEIGHT_OR_OBESE,-22.16976007,0.0459919248789558
TARGET__DELTA_OC_MINUS_OA__BAI__EEG12,DELTA_OC_MINUS_OA,BAI,STAI_Trait_Anxiety,EEG12,F3,beta,1,W4,LIVING_ALONE,12.06008476,0.0478588951311882
TARGET__DELTA_OC_MINUS_OA__MSPSS__EEG36,DELTA_OC_MINUS_OA,MSPSS,MSPSS_total,EEG36,O1,beta,1,W5,ATTACHMENT_INSECURE,-7.766991128,0.0490054593140692
TARGET__DELTA_OC_MINUS_OA__MSPSS__EEG19,DELTA_OC_MINUS_OA,MSPSS,MSPSS_total,EEG19,C3,alpha,1,W3,SLEEP_NOT_RECOMMENDED,9.363767208,0.0494633433241626
